image_id,image_path,set_type,object_id,class_id,class_name,center_x,center_y,width,height,xmin,ymin,xmax,ymax
crazing_10,..\NEU-DET\train\images\crazing_10.jpg,train,0,0,Rolled-in_Scale,0.635,0.2225,0.67,0.245,0.3,0.1,0.97,0.345
crazing_10,..\NEU-DET\train\images\crazing_10.jpg,train,1,0,Rolled-in_Scale,0.515,0.705,0.9400000000000001,0.5700000000000001,0.044999999999999984,0.41999999999999993,0.9850000000000001,0.99
crazing_100,..\NEU-DET\train\images\crazing_100.jpg,train,0,0,Rolled-in_Scale,0.2725,0.3275,0.535,0.555,0.0050000000000000044,0.04999999999999999,0.54,0.605
crazing_100,..\NEU-DET\train\images\crazing_100.jpg,train,1,0,Rolled-in_Scale,0.5875,0.21,0.8250000000000001,0.41000000000000003,0.175,0.004999999999999977,1,0.41500000000000004
crazing_100,..\NEU-DET\train\images\crazing_100.jpg,train,2,0,Rolled-in_Scale,0.79,0.7675000000000001,0.38,0.445,0.6000000000000001,0.545,0.98,0.9900000000000001
crazing_100,..\NEU-DET\train\images\crazing_100.jpg,train,3,0,Rolled-in_Scale,0.43,0.755,0.78,0.39,0.03999999999999998,0.56,0.8200000000000001,0.95
crazing_101,..\NEU-DET\train\images\crazing_101.jpg,train,0,0,Rolled-in_Scale,0.5675,0.41000000000000003,0.735,0.7000000000000001,0.2,0.06,0.935,0.76
crazing_102,..\NEU-DET\train\images\crazing_102.jpg,train,0,0,Rolled-in_Scale,0.365,0.3875,0.71,0.755,0.010000000000000009,0.010000000000000009,0.72,0.765
crazing_102,..\NEU-DET\train\images\crazing_102.jpg,train,1,0,Rolled-in_Scale,0.8725,0.6575,0.245,0.465,0.75,0.42499999999999993,0.9950000000000001,0.89
crazing_103,..\NEU-DET\train\images\crazing_103.jpg,train,0,0,Rolled-in_Scale,0.3275,0.2925,0.645,0.405,0.0050000000000000044,0.08999999999999997,0.65,0.495
crazing_103,..\NEU-DET\train\images\crazing_103.jpg,train,1,0,Rolled-in_Scale,0.81,0.3975,0.36,0.505,0.6300000000000001,0.14500000000000002,0.99,0.65
crazing_103,..\NEU-DET\train\images\crazing_103.jpg,train,2,0,Rolled-in_Scale,0.2175,0.745,0.425,0.42,0.0050000000000000044,0.535,0.43,0.955
crazing_104,..\NEU-DET\train\images\crazing_104.jpg,train,0,0,Rolled-in_Scale,0.28500000000000003,0.35000000000000003,0.53,0.66,0.020000000000000018,0.020000000000000018,0.55,0.68
crazing_104,..\NEU-DET\train\images\crazing_104.jpg,train,1,0,Rolled-in_Scale,0.8475,0.165,0.275,0.23,0.71,0.05,0.9850000000000001,0.28
crazing_104,..\NEU-DET\train\images\crazing_104.jpg,train,2,0,Rolled-in_Scale,0.84,0.395,0.31,0.37,0.6849999999999999,0.21000000000000002,0.995,0.5800000000000001
crazing_104,..\NEU-DET\train\images\crazing_104.jpg,train,3,2,Crazing,0.49,0.9225,0.2,0.155,0.39,0.845,0.59,1
crazing_105,..\NEU-DET\train\images\crazing_105.jpg,train,0,0,Rolled-in_Scale,0.2925,0.3425,0.545,0.655,0.019999999999999962,0.015000000000000013,0.565,0.67
crazing_105,..\NEU-DET\train\images\crazing_105.jpg,train,1,0,Rolled-in_Scale,0.8250000000000001,0.375,0.32,0.74,0.665,0.0050000000000000044,0.9850000000000001,0.745
crazing_105,..\NEU-DET\train\images\crazing_105.jpg,train,2,0,Rolled-in_Scale,0.64,0.115,0.6900000000000001,0.22,0.295,0.0050000000000000044,0.9850000000000001,0.225
crazing_105,..\NEU-DET\train\images\crazing_105.jpg,train,3,1,Patches,0.315,0.54,0.58,0.17,0.025000000000000022,0.455,0.605,0.625
crazing_106,..\NEU-DET\train\images\crazing_106.jpg,train,0,0,Rolled-in_Scale,0.32,0.3125,0.63,0.385,0.0050000000000000044,0.12,0.635,0.505
crazing_106,..\NEU-DET\train\images\crazing_106.jpg,train,1,0,Rolled-in_Scale,0.5125,0.6900000000000001,0.865,0.18,0.07999999999999996,0.6000000000000001,0.945,0.78
crazing_106,..\NEU-DET\train\images\crazing_106.jpg,train,2,0,Rolled-in_Scale,0.725,0.85,0.32,0.18,0.565,0.76,0.885,0.94
crazing_107,..\NEU-DET\train\images\crazing_107.jpg,train,0,0,Rolled-in_Scale,0.7775,0.46,0.435,0.46,0.5599999999999999,0.23,0.995,0.6900000000000001
crazing_107,..\NEU-DET\train\images\crazing_107.jpg,train,1,0,Rolled-in_Scale,0.2675,0.2,0.515,0.39,0.010000000000000009,0.0050000000000000044,0.525,0.395
crazing_107,..\NEU-DET\train\images\crazing_107.jpg,train,2,0,Rolled-in_Scale,0.34500000000000003,0.8625,0.58,0.265,0.05500000000000005,0.73,0.635,0.9950000000000001
crazing_108,..\NEU-DET\train\images\crazing_108.jpg,train,0,0,Rolled-in_Scale,0.18,0.425,0.33,0.64,0.014999999999999986,0.10499999999999998,0.345,0.745
crazing_108,..\NEU-DET\train\images\crazing_108.jpg,train,1,0,Rolled-in_Scale,0.72,0.77,0.54,0.39,0.44999999999999996,0.575,0.99,0.9650000000000001
crazing_109,..\NEU-DET\train\images\crazing_109.jpg,train,0,0,Rolled-in_Scale,0.6900000000000001,0.1075,0.61,0.20500000000000002,0.38500000000000006,0.0049999999999999906,0.9950000000000001,0.21000000000000002
crazing_109,..\NEU-DET\train\images\crazing_109.jpg,train,1,0,Rolled-in_Scale,0.5925,0.3125,0.795,0.245,0.195,0.19,0.99,0.435
crazing_109,..\NEU-DET\train\images\crazing_109.jpg,train,2,0,Rolled-in_Scale,0.4425,0.5475,0.5650000000000001,0.215,0.15999999999999998,0.44,0.7250000000000001,0.655
crazing_11,..\NEU-DET\train\images\crazing_11.jpg,train,0,0,Rolled-in_Scale,0.33,0.4475,0.46,0.215,0.1,0.34,0.56,0.555
crazing_11,..\NEU-DET\train\images\crazing_11.jpg,train,1,0,Rolled-in_Scale,0.6950000000000001,0.20500000000000002,0.54,0.29,0.42500000000000004,0.060000000000000026,0.9650000000000001,0.35
crazing_11,..\NEU-DET\train\images\crazing_11.jpg,train,2,0,Rolled-in_Scale,0.51,0.795,0.4,0.25,0.31,0.67,0.71,0.92
crazing_110,..\NEU-DET\train\images\crazing_110.jpg,train,0,0,Rolled-in_Scale,0.745,0.2325,0.44,0.28500000000000003,0.525,0.09,0.965,0.375
crazing_110,..\NEU-DET\train\images\crazing_110.jpg,train,1,0,Rolled-in_Scale,0.225,0.23750000000000002,0.44,0.315,0.0050000000000000044,0.08000000000000002,0.445,0.395
crazing_111,..\NEU-DET\train\images\crazing_111.jpg,train,0,0,Rolled-in_Scale,0.51,0.3425,0.65,0.405,0.185,0.14,0.835,0.545
crazing_111,..\NEU-DET\train\images\crazing_111.jpg,train,1,0,Rolled-in_Scale,0.795,0.34500000000000003,0.4,0.5700000000000001,0.595,0.06,0.9950000000000001,0.6300000000000001
crazing_112,..\NEU-DET\train\images\crazing_112.jpg,train,0,0,Rolled-in_Scale,0.3425,0.375,0.545,0.31,0.07,0.22,0.615,0.53
crazing_112,..\NEU-DET\train\images\crazing_112.jpg,train,1,0,Rolled-in_Scale,0.3525,0.7525000000000001,0.675,0.315,0.014999999999999958,0.5950000000000001,0.69,0.91
crazing_112,..\NEU-DET\train\images\crazing_112.jpg,train,2,2,Crazing,0.7225,0.365,0.20500000000000002,0.39,0.62,0.16999999999999998,0.8250000000000001,0.56
crazing_113,..\NEU-DET\train\images\crazing_113.jpg,train,0,0,Rolled-in_Scale,0.365,0.8,0.5,0.26,0.11499999999999999,0.67,0.615,0.93
crazing_113,..\NEU-DET\train\images\crazing_113.jpg,train,1,0,Rolled-in_Scale,0.40750000000000003,0.41000000000000003,0.805,0.34,0.0050000000000000044,0.24000000000000002,0.81,0.5800000000000001
crazing_114,..\NEU-DET\train\images\crazing_114.jpg,train,0,0,Rolled-in_Scale,0.525,0.8175,0.64,0.245,0.20500000000000002,0.6950000000000001,0.845,0.94
crazing_114,..\NEU-DET\train\images\crazing_114.jpg,train,1,0,Rolled-in_Scale,0.1275,0.625,0.20500000000000002,0.73,0.024999999999999994,0.26,0.23,0.99
crazing_114,..\NEU-DET\train\images\crazing_114.jpg,train,2,0,Rolled-in_Scale,0.24,0.2675,0.46,0.375,0.009999999999999981,0.08000000000000002,0.47,0.455
crazing_115,..\NEU-DET\train\images\crazing_115.jpg,train,0,0,Rolled-in_Scale,0.49,0.2475,0.89,0.245,0.044999999999999984,0.125,0.935,0.37
crazing_115,..\NEU-DET\train\images\crazing_115.jpg,train,1,0,Rolled-in_Scale,0.3325,0.535,0.425,0.28,0.12000000000000002,0.395,0.545,0.675
crazing_115,..\NEU-DET\train\images\crazing_115.jpg,train,2,0,Rolled-in_Scale,0.7225,0.465,0.47500000000000003,0.48,0.485,0.22500000000000003,0.9600000000000001,0.7050000000000001
crazing_116,..\NEU-DET\train\images\crazing_116.jpg,train,0,0,Rolled-in_Scale,0.7375,0.20500000000000002,0.265,0.28,0.605,0.065,0.8700000000000001,0.34500000000000003
crazing_116,..\NEU-DET\train\images\crazing_116.jpg,train,1,0,Rolled-in_Scale,0.3825,0.7475,0.5750000000000001,0.365,0.09499999999999997,0.5650000000000001,0.67,0.93
crazing_117,..\NEU-DET\train\images\crazing_117.jpg,train,0,0,Rolled-in_Scale,0.41500000000000004,0.4575,0.71,0.525,0.06000000000000005,0.195,0.77,0.72
crazing_117,..\NEU-DET\train\images\crazing_117.jpg,train,1,0,Rolled-in_Scale,0.5875,0.8175,0.515,0.255,0.33,0.69,0.845,0.9450000000000001
crazing_118,..\NEU-DET\train\images\crazing_118.jpg,train,0,0,Rolled-in_Scale,0.215,0.8300000000000001,0.36,0.22,0.035,0.7200000000000001,0.395,0.9400000000000001
crazing_118,..\NEU-DET\train\images\crazing_118.jpg,train,1,0,Rolled-in_Scale,0.19,0.5075000000000001,0.37,0.365,0.0050000000000000044,0.32500000000000007,0.375,0.6900000000000001
crazing_118,..\NEU-DET\train\images\crazing_118.jpg,train,2,0,Rolled-in_Scale,0.555,0.7325,0.67,0.265,0.22000000000000003,0.6000000000000001,0.8900000000000001,0.865
crazing_118,..\NEU-DET\train\images\crazing_118.jpg,train,3,0,Rolled-in_Scale,0.6325000000000001,0.5375,0.685,0.255,0.29000000000000004,0.41,0.9750000000000001,0.665
crazing_119,..\NEU-DET\train\images\crazing_119.jpg,train,0,0,Rolled-in_Scale,0.6625,0.525,0.605,0.42,0.36,0.31500000000000006,0.965,0.735
crazing_119,..\NEU-DET\train\images\crazing_119.jpg,train,1,0,Rolled-in_Scale,0.3425,0.6725,0.675,0.225,0.0050000000000000044,0.5599999999999999,0.68,0.785
crazing_119,..\NEU-DET\train\images\crazing_119.jpg,train,2,0,Rolled-in_Scale,0.5875,0.18,0.535,0.22,0.32,0.06999999999999999,0.855,0.29
crazing_119,..\NEU-DET\train\images\crazing_119.jpg,train,3,0,Rolled-in_Scale,0.355,0.29,0.66,0.4,0.024999999999999967,0.08999999999999997,0.685,0.49
crazing_12,..\NEU-DET\train\images\crazing_12.jpg,train,0,0,Rolled-in_Scale,0.355,0.1275,0.7000000000000001,0.245,0.004999999999999949,0.0050000000000000044,0.7050000000000001,0.25
crazing_12,..\NEU-DET\train\images\crazing_12.jpg,train,1,0,Rolled-in_Scale,0.3,0.6725,0.59,0.275,0.0050000000000000044,0.5349999999999999,0.595,0.81
crazing_120,..\NEU-DET\train\images\crazing_120.jpg,train,0,0,Rolled-in_Scale,0.6525,0.1575,0.47500000000000003,0.255,0.4149999999999999,0.03,0.89,0.28500000000000003
crazing_120,..\NEU-DET\train\images\crazing_120.jpg,train,1,0,Rolled-in_Scale,0.765,0.44,0.47000000000000003,0.2,0.53,0.33999999999999997,1,0.54
crazing_120,..\NEU-DET\train\images\crazing_120.jpg,train,2,0,Rolled-in_Scale,0.295,0.5675,0.58,0.325,0.0050000000000000044,0.405,0.585,0.73
crazing_120,..\NEU-DET\train\images\crazing_120.jpg,train,3,0,Rolled-in_Scale,0.295,0.5675,0.58,0.325,0.0050000000000000044,0.405,0.585,0.73
crazing_120,..\NEU-DET\train\images\crazing_120.jpg,train,4,0,Rolled-in_Scale,0.725,0.655,0.54,0.21,0.45499999999999996,0.55,0.995,0.76
crazing_121,..\NEU-DET\train\images\crazing_121.jpg,train,0,0,Rolled-in_Scale,0.6125,0.7125,0.505,0.28500000000000003,0.36000000000000004,0.5700000000000001,0.865,0.855
crazing_121,..\NEU-DET\train\images\crazing_121.jpg,train,1,0,Rolled-in_Scale,0.4475,0.2325,0.665,0.255,0.11499999999999999,0.10500000000000001,0.78,0.36
crazing_122,..\NEU-DET\train\images\crazing_122.jpg,train,0,0,Rolled-in_Scale,0.6925,0.755,0.5650000000000001,0.15,0.41,0.68,0.9750000000000001,0.83
crazing_122,..\NEU-DET\train\images\crazing_122.jpg,train,1,0,Rolled-in_Scale,0.3825,0.515,0.325,0.3,0.22,0.365,0.545,0.665
crazing_123,..\NEU-DET\train\images\crazing_123.jpg,train,0,0,Rolled-in_Scale,0.68,0.72,0.58,0.23,0.39000000000000007,0.605,0.97,0.835
