epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7775,1.93709,3.35094,1.95475,0.61914,0.31604,0.33159,0.14022,2.03323,2.7097,2.15964,0.0033033,0.0033033,0.0033033
2,48.2387,1.5811,1.8857,1.63633,0.42177,0.43956,0.45876,0.22942,1.7926,2.15843,1.97537,0.0066235,0.0066235,0.0066235
3,68.8197,1.61169,1.77462,1.64816,0.67128,0.26733,0.24428,0.0853,2.35887,3.45254,2.4175,0.00993049,0.00993049,0.00993049
4,89.6622,1.65499,1.81498,1.67182,0.45214,0.41855,0.30859,0.14298,2.14413,2.95215,2.09528,0.0099406,0.0099406,0.0099406
5,109.291,1.6397,1.71106,1.67529,0.44436,0.41047,0.32918,0.13406,2.39661,3.13494,2.34856,0.0099208,0.0099208,0.0099208
6,128.998,1.60854,1.70873,1.67672,0.85686,0.2303,0.26826,0.12135,2.34467,3.62876,2.4985,0.009901,0.009901,0.009901
7,148.649,1.59076,1.67156,1.65277,0.45992,0.17034,0.17888,0.08237,2.0281,3.5038,2.23542,0.0098812,0.0098812,0.0098812
8,168.144,1.57752,1.61939,1.64729,0.41952,0.22549,0.09419,0.03263,2.9467,4.51543,3.39863,0.0098614,0.0098614,0.0098614
9,187.681,1.56367,1.60275,1.63822,0.77664,0.50024,0.62466,0.31605,1.6627,1.49126,1.78692,0.0098416,0.0098416,0.0098416
10,207.356,1.53872,1.55736,1.61686,0.61045,0.1285,0.09431,0.04801,2.76371,4.0664,3.27047,0.0098218,0.0098218,0.0098218
11,227.075,1.52809,1.55196,1.6095,0.59274,0.25718,0.28851,0.11711,2.14388,2.92527,2.46904,0.009802,0.009802,0.009802
12,246.604,1.50489,1.52721,1.60758,0.58497,0.54082,0.6017,0.31552,1.76524,1.58518,1.90442,0.0097822,0.0097822,0.0097822
13,266.26,1.48343,1.49939,1.58771,0.42808,0.3433,0.38087,0.19501,1.82462,2.26112,2.03361,0.0097624,0.0097624,0.0097624
14,286.534,1.48406,1.47793,1.58865,0.49436,0.73843,0.72176,0.39543,1.44435,1.33762,1.62216,0.0097426,0.0097426,0.0097426
15,306.314,1.4744,1.48205,1.58131,0.65657,0.14076,0.10204,0.0455,2.66827,4.73132,3.20022,0.0097228,0.0097228,0.0097228
16,328.001,1.46796,1.45396,1.58207,0.57851,0.64201,0.60142,0.29671,1.73365,1.60547,1.98781,0.009703,0.009703,0.009703
17,348.319,1.4844,1.46278,1.58657,0.52476,0.71497,0.63941,0.35626,1.59124,1.40962,1.6744,0.0096832,0.0096832,0.0096832
18,368.517,1.46179,1.43124,1.57104,0.60412,0.7141,0.73835,0.43524,1.52359,1.17619,1.60054,0.0096634,0.0096634,0.0096634
19,388.999,1.46377,1.41962,1.56132,0.37214,0.3428,0.27911,0.13957,2.03321,2.89902,2.32564,0.0096436,0.0096436,0.0096436
20,411.293,1.45997,1.411,1.5604,0.51937,0.54839,0.56891,0.28404,1.88817,1.62091,1.97921,0.0096238,0.0096238,0.0096238
21,434.125,1.45285,1.42849,1.57694,0.6871,0.47335,0.57663,0.28626,1.73029,2.10083,1.98209,0.009604,0.009604,0.009604
22,456.469,1.44771,1.42926,1.56208,0.40302,0.32993,0.30237,0.139,1.96953,2.67504,2.15385,0.0095842,0.0095842,0.0095842
23,478.231,1.43329,1.37801,1.53853,0.65699,0.62608,0.72937,0.37236,1.60816,1.3834,1.72051,0.0095644,0.0095644,0.0095644
24,498.022,1.42212,1.36787,1.53989,0.58708,0.29225,0.31714,0.15648,1.93925,2.43069,2.11779,0.0095446,0.0095446,0.0095446
25,518.394,1.42426,1.37096,1.54392,0.8311,0.1944,0.29722,0.13925,2.00051,3.08823,2.16539,0.0095248,0.0095248,0.0095248
26,538.97,1.40777,1.38591,1.5378,0.80546,0.62212,0.7753,0.44791,1.47769,1.26788,1.62264,0.009505,0.009505,0.009505
27,559.328,1.41745,1.36137,1.54947,0.4817,0.76206,0.6949,0.38504,1.57274,1.27954,1.70313,0.0094852,0.0094852,0.0094852
28,580.588,1.40572,1.34378,1.51808,0.56251,0.65898,0.67297,0.3749,1.58956,1.45475,1.66711,0.0094654,0.0094654,0.0094654
